mode,stim,reservoir_seed,RMSE,NRMSE
serial,-5,1014,0.09372336288327134,0.30212279338653286
serial,-5,1024,0.09675949896106462,0.3119099572772159
serial,-5,1034,0.09578745023273195,0.3087765008147386
serial,-5,1044,0.08747940763274754,0.2819950350130071
serial,-5,1054,0.085477491074583,0.27554173880091204
serial,-6,1014,0.053700851772668645,0.26430670636247333
serial,-6,1024,0.051343377893326485,0.2527036100275728
serial,-6,1034,0.05186997879798721,0.25529545254186997
serial,-6,1044,0.049107995170399814,0.24170142616171036
serial,-6,1054,0.05242698284212745,0.25803693427777447
serial,-7,1014,0.0928729826313319,0.5995608452541599
serial,-7,1024,0.09131423573296622,0.5894980306288209
serial,-7,1034,0.09176147164824486,0.5923852550486169
serial,-7,1044,0.08934667734119146,0.5767960484265027
serial,-7,1054,0.08998512972792587,0.5809177105267126
serial,-8,1014,0.07720338346104051,0.9442280105318155
serial,-8,1024,0.07358162389257779,0.899932454059477
serial,-8,1034,0.07427856977931417,0.9084563787708015
serial,-8,1044,0.07831380424619928,0.9578088972989447
serial,-8,1054,0.07298094404238026,0.8925859011690227
serial,-9,1014,0.1280022707310013,0.925308033156625
serial,-9,1024,0.10437375637988654,0.754501265309593
serial,-9,1034,0.11819501656327715,0.8544129543991972
serial,-9,1044,0.12106920052649812,0.8751899726095015
serial,-9,1054,0.1139709156352618,0.8238776013993201
serial,-0,1014,0.14221568593273973,0.9286043700662017
serial,-0,1024,0.14254274875066514,0.9307399429463644
serial,-0,1034,0.14321238363916192,0.9351123571405412
serial,-0,1044,0.1496947444802634,0.9774392535437957
serial,-0,1054,0.14697627171042993,0.9596888508549726
parallel,-5,1014,0.0905544945303047,0.2919077591707328
parallel,-5,1024,0.08673341816202844,0.27959029391327406
parallel,-5,1034,0.08912204593493657,0.28729017655630784
parallel,-5,1044,0.08691303490459906,0.28016929908695754
parallel,-5,1054,0.08764630180150637,0.2825330282189075
parallel,-6,1014,0.06596756257571196,0.32468142712069176
parallel,-6,1024,0.06499711268890078,0.3199050333614508
parallel,-6,1034,0.06507001620554191,0.32026385240676564
parallel,-6,1044,0.06375982548650413,0.31381531048937644
parallel,-6,1054,0.06367992388433195,0.3134220480250749
parallel,-7,1014,0.09153202186561589,0.5909039942802135
parallel,-7,1024,0.09164960879351451,0.5916631011365271
parallel,-7,1034,0.09100907173678816,0.5875279810158355
parallel,-7,1044,0.09104276007809821,0.5877454631060924
parallel,-7,1054,0.0921441724401772,0.5948558595644773
parallel,-8,1014,0.057424495859341486,0.7023243677969203
parallel,-8,1024,0.057284818909802394,0.7006160632865746
parallel,-8,1034,0.057013075121436496,0.6972925289392412
parallel,-8,1044,0.05634875122395444,0.6891675840994238
parallel,-8,1054,0.05670366461639649,0.6935083157025377
parallel,-9,1014,0.06551381181396138,0.4735889137589182
parallel,-9,1024,0.06592217858437206,0.47654093211747783
parallel,-9,1034,0.06678960499697559,0.4828114195328224
parallel,-9,1044,0.06570052805839226,0.4749386557588536
parallel,-9,1054,0.06676206189005103,0.4826123147985873
parallel,-0,1014,0.12848418192936878,0.8389438340888805
parallel,-0,1024,0.12833137371371514,0.8379460652709944
parallel,-0,1034,0.1282814700333852,0.8376202167168574
parallel,-0,1044,0.12855373038668502,0.8393979541880219
parallel,-0,1054,0.12883340842179195,0.8412241257801952
both,-5,1014,0.07982969485743308,0.2573357342668196
both,-5,1024,0.07973372000104255,0.25702635365119136
both,-5,1034,0.07962574059604945,0.2566782756644319
both,-5,1044,0.08089750538066788,0.26077788452863887
both,-5,1054,0.07970176490224087,0.2569233445036757
both,-6,1014,0.057871735930175756,0.2848351080153349
both,-6,1024,0.05814069447996294,0.28615887749190133
both,-6,1034,0.05790128016962432,0.28498051987311496
both,-6,1044,0.05755451597633034,0.2832738038939725
both,-6,1054,0.05818126589114769,0.2863585632642633
both,-7,1014,0.08820658496573387,0.5694359451011834
both,-7,1024,0.08962197493261648,0.5785732892551559
both,-7,1034,0.08810679060079425,0.5687917018336628
both,-7,1044,0.08943704762583134,0.5773794525846271
both,-7,1054,0.08777625681464356,0.5666578722677895
both,-8,1014,0.05611554116242876,0.6863153325197827
both,-8,1024,0.05589547841783147,0.6836238778424352
both,-8,1034,0.05566332136065268,0.6807845049237409
both,-8,1044,0.056190557510991425,0.687232812225791
both,-8,1054,0.05635656179764911,0.6892631105145913
both,-9,1014,0.06397452315622121,0.46246164115492605
both,-9,1024,0.06424955741791197,0.4644498200386474
both,-9,1034,0.06409297611038849,0.46331791869919287
both,-9,1044,0.06366853507777206,0.4602497020586723
both,-9,1054,0.06391428818252486,0.46202621212136347
both,-0,1014,0.1276806886884247,0.833697385147853
both,-0,1024,0.1275867070264254,0.833083727227728
both,-0,1034,0.1275853274528803,0.8330747192338881
both,-0,1044,0.127925505220802,0.8352959268300802
both,-0,1054,0.1278681354297453,0.834921327935903
